fck (MPa),Cement (Kg/m3),Water (Kg/m3),FA(Kg/m3),RFA(Kg/m3),CA(kg/m3),RCA (Kg/m3),MA(Kg/m3),CHA(Kg/m3)
53.3,284.9,160.1,730.7,0,565.2,224.6,370.2,3.12
53,284.9,160.1,730.7,0,484.5,299.4,370.2,3.12
59.7,550,165,607,0,0,584,0,3.58
36,385,148,729,0,0,702,165,7.15
46.5,275,146,745,0,0,717,275,6.6
14.2,165,172,757,0,0,728,385,5.5
60.9,385,155,815,0,0,778,165,7.98
58.7,275,162,789,0,0,753,275,7.15
48,165,172,729,0,0,695,385,5.5
43.2,509,221,734,0,0,701,41,4.95
71,468,197,760,0,0,726,82,6.33
35.3,384,216,964.8,0,643.2,0,96,2.88
31.7,384,216,964.8,0,482.41,143.08,96,2.88
32.1,384,216,964.8,0,321.6,286.16,96,2.88
32.6,384,216,964.8,0,160.8,429.23,96,2.89
29.8,384,216,964.8,0,0,572.29,96,2.9
33.6,445,219,717,0,0,611,125,1.14
42.9,512,235,664,0,0,565,145,1.31
31.6,430,226,717,0,0,611,121,1.1
36.4,445,219,717,0,0,611,126,2
35.8,436,223,717,0,0,611,123,1.62
40.8,485,229,685,0,0,584,137,1.8
38.9,475,233,685,0,0,584,134,1.22
37.7,453,231,698,0,0,595,128,2.03
45,506,238,664,0,0,565,143,2.27
41.6,495,241,664,0,0,565,140,1.61
44.7,300,185,1120,0,0,530,170,2.3
40.8,300,210,560,510,0,530,170,2.3
27.8,300,235,0,1010,0,530,170,2.3
50.4,425,185,1120,0,0,430,170,2.3
42.8,425,210,560,510,0,430,170,2.3
32.5,425,235,0,1010,0,430,170,2.3
45.5,300,185,1120,0,0,530,340,2.3
42.5,300,210,560,510,0,530,340,2.3
28.6,300,235,0,1010,0,530,340,2.3
54.5,425,185,1120,0,0,430,340,2.3
51.4,425,210,560,510,0,430,340,2.3
36.9,425,235,0,1010,0,430,340,2.3
35.9,300,185,1120,0,0,530,305,2.3
28.8,300,210,560,510,0,530,305,2.3
15.6,300,235,0,1010,0,530,305,2.3
41.8,425,185,1120,0,0,430,305,2.3
34.9,425,210,560,510,0,430,305,2.3
27.3,425,235,0,1010,0,430,305,2.3
60.1,624,212,798.6,0,668.25,0,0,2.5
58,624,212,798.6,0,334.12,306.9,0,2.5
55.7,624,212,798.6,0,0,613.8,0,2.5
37.5,288,196,798.6,0,668.25,0,288,1.56
37.3,288,196,798.6,0,334.12,306.9,288,1.56
36.4,288,196,798.6,0,0,613.8,288,1.56
52.4,414,201,798.6,0,668.25,0,178,2.61
50.8,414,201,798.6,0,334.12,306.9,178,2.61
50.4,414,201,798.6,0,0,613.8,178,2.61
55.1,417,203,798.6,0,668.25,0,179,2.62
53.2,417,203,798.6,0,334.12,306.9,179,2.62
52.4,417,203,798.6,0,0,613.8,179,2.62
26.8,450,171,922,0,804,0,0,0
30.6,450,171,692,230,804,0,0,0
35.7,450,171,461,461,804,0,0,0
55.3,450,171,230,692,804,0,0,0
47.1,450,171,0,922,804,0,0,0
22.9,450,202,922,0,804,0,0,0
24.2,450,202,692,230,804,0,0,0
32.5,450,202,461,461,804,0,0,0
45.9,450,202,230,692,804,0,0,0
40.8,450,202,0,922,804,0,0,0
30.6,550,209,813,0,708,0,0,0
33.1,550,209,610,203,708,0,0,0
38.2,550,209,407,406,708,0,0,0
59.9,550,209,203,610,708,0,0,0
